Order_ID,Customer_ID,Order_Date,Product,Category,Quantity,Unit_Price,Total_Price
1001,C001,2025/01/15,Wireless Mouse,Electronics,2.0,450.0,
1002,C002,15-01-2025,Laptop,Electronics,1.0,45000.0,45000.0
1003,C003,2025-01-16,Notebook,Stationery,,50.0,250.0
1004,C004,2025-01-17,Pencil,Stationery,10.0,10.0,100.0
1005,,2025-01-17,Headphones,Electronics,1.0,1500.0,1500.0
1006,C006,2025/01/18,Monitor,Electronics,1.0,12000.0,12000.0
1007,C007,18-01-2025,Desk Chair,Furniture,1.0,,3000.0
1008,C008,2025/01/18,Notebook,Stationery,5.0,50.0,250.0
1009,C009,2025/01/19,Table,Furniture,1.0,5000.0,5000.0
1010,C010,2025/01/19,Headphones,Electronics,2.0,1500.0,3000.0
